Id,SalePrice
1461,144000
1462,165500
1463,181000
1464,181000
1465,170000
1466,200500
1467,162000
1468,185000
1469,167000
1470,123000
1471,189000
1472,83000
1473,88000
1474,148500
1475,148500
1476,320000
1477,250000
1478,325000
1479,240000
1480,284000
1481,255000
1482,202500
1483,200141
1484,160200
1485,184000
1486,189000
1487,340000
1488,232000
1489,147000
1490,220000
1491,186500
1492,118500
1493,215000
1494,250000
1495,271000
1496,208900
1497,213500
1498,151000
1499,154000
1500,160000
1501,168500
1502,151000
1503,280000
1504,236500
1505,208900
1506,190000
1507,260000
1508,190000
1509,139000
1510,143000
1511,142000
1512,165500
1513,112000
1514,118000
1515,139000
1516,140000
1517,142000
1518,136500
1519,220000
1520,142000
1521,142000
1522,143000
1523,115000
1524,135000
1525,166000
1526,140000
1527,140000
1528,120000
1529,155000
1530,167000
1531,169500
1532,127000
1533,129000
1534,115000
1535,133000
1536,119000
1537,115000
1538,119000
1539,287000
1540,67000
1541,140000
1542,127000
1543,155000
1544,125500
1545,128000
1546,132500
1547,125000
1548,131000
1549,134900
1550,128000
1551,102000
1552,124000
1553,130500
1554,128000
1555,163500
1556,96500
1557,136500
1558,119000
1559,122000
1560,95000
1561,136500
1562,130000
1563,125000
1564,180000
1565,154000
1566,196000
1567,110000
1568,190000
1569,95000
1570,140000
1571,140000
1572,157000
1573,223500
1574,110000
1575,143000
1576,207500
1577,194000
1578,160000
1579,152000
1580,186500
1581,154000
1582,110000
1583,350000
1584,219500
1585,136500
1586,86000
1587,112000
1588,142000
1589,110000
1590,127000
1591,100000
1592,110000
1593,110000
1594,107500
1595,113000
1596,143000
1597,160000
1598,230000
1599,275000
1600,170000
1601,80000
1602,110000
1603,85000
1604,275000
1605,315000
1606,171000
1607,171000
1608,162000
1609,147000
1610,167500
1611,165000
1612,213500
1613,181000
1614,118000
1615,88000
1616,88000
1617,88000
1618,130000
1619,147000
1620,171000
1621,129500
1622,190000
1623,275000
1624,220000
1625,123000
1626,167900
1627,215000
1628,275000
1629,193000
1630,189000
1631,189000
1632,189000
1633,180000
1634,185000
1635,185000
1636,176000
1637,171000
1638,195000
1639,181000
1640,197500
1641,157000
1642,175900
1643,186500
1644,189000
1645,175000
1646,155000
1647,140000
1648,140000
1649,135000
1650,120500
1651,120500
1652,100000
1653,83000
1654,155000
1655,148500
1656,146000
1657,155000
1658,148500
1659,148500
1660,148000
1661,345000
1662,325000
1663,284000
1664,320000
1665,266000
1666,385000
1667,335000
1668,284000
1669,325000
1670,320000
1671,271000
1672,385000
1673,325000
1674,266000
1675,254000
1676,196000
1677,224000
1678,385000
1679,280000
1680,230000
1681,208900
1682,315000
1683,192000
1684,174000
1685,174000
1686,167240
1687,167500
1688,181000
1689,189000
1690,185000
1691,180000
1692,230000
1693,167500
1694,193000
1695,180000
1696,214000
1697,180000
1698,310000
1699,270000
1700,236000
1701,290000
1702,239000
1703,232000
1704,270000
1705,192000
1706,345000
1707,201000
1708,201000
1709,325000
1710,147000
1711,225000
1712,232000
1713,320000
1714,190000
1715,173000
1716,147000
1717,189000
1718,141000
1719,200000
1720,220000
1721,155000
1722,141000
1723,155000
1724,208900
1725,193000
1726,200500
1727,179200
1728,177500
1729,185000
1730,188000
1731,93500
1732,129000
1733,144000
1734,145000
1735,177500
1736,112500
1737,385000
1738,147000
1739,287000
1740,222000
1741,230000
1742,177500
1743,173000
1744,302000
1745,190000
1746,213000
1747,207500
1748,200500
1749,167500
1750,157000
1751,222000
1752,130000
1753,167000
1754,185000
1755,175000
1756,139000
1757,130000
1758,153000
1759,139000
1760,163000
1761,158000
1762,185000
1763,141000
1764,122000
1765,167000
1766,166000
1767,205000
1768,124500
1769,159000
1770,134500
1771,139000
1772,141000
1773,166000
1774,161500
1775,132500
1776,140000
1777,134500
1778,109500
1779,158000
1780,159500
1781,135000
1782,110000
1783,135000
1784,85000
1785,130000
1786,163000
1787,140000
1788,86000
1789,110000
1790,110000
1791,200000
1792,167000
1793,156000
1794,139000
1795,155000
1796,140000
1797,127500
1798,115000
1799,138000
1800,139000
1801,135000
1802,140000
1803,140000
1804,165500
1805,132500
1806,117000
1807,137000
1808,100000
1809,130500
1810,125500
1811,98000
1812,118500
1813,125500
1814,115000
1815,60000
1816,100000
1817,135000
1818,200500
1819,110000
1820,67000
1821,145000
1822,135000
1823,67000
1824,115000
1825,117000
1826,83000
1827,115000
1828,128000
1829,100000
1830,145000
1831,161000
1832,130000
1833,177000
1834,128000
1835,128000
1836,140000
1837,55000
1838,154000
1839,109900
1840,179000
1841,125000
1842,115000
1843,148000
1844,148000
1845,140000
1846,140000
1847,135000
1848,86000
1849,82000
1850,140000
1851,140000
1852,141000
1853,91000
1854,173000
1855,147000
1856,189000
1857,235000
1858,90000
1859,127000
1860,135000
1861,127000
1862,345000
1863,200000
1864,200000
1865,315000
1866,224900
1867,270000
1868,260000
1869,189000
1870,194000
1871,232600
1872,174000
1873,190000
1874,156000
1875,185000
1876,210000
1877,208900
1878,213000
1879,144000
1880,147000
1881,262500
1882,200000
1883,227000
1884,219500
1885,220000
1886,275000
1887,213000
1888,270000
1889,156932
1890,120000
1891,140000
1892,130000
1893,135000
1894,135000
1895,143000
1896,143000
1897,118500
1898,96500
1899,207000
1900,125500
1901,139000
1902,141000
1903,160000
1904,141000
1905,157500
1906,119000
1907,256000
1908,124000
1909,151000
1910,124000
1911,190000
1912,256000
1913,189000
1914,86000
1915,275000
1916,85000
1917,236000
1918,147000
1919,144000
1920,152000
1921,385000
1922,232000
1923,215000
1924,190000
1925,200000
1926,385000
1927,124500
1928,160000
1929,125000
1930,151000
1931,124900
1932,176000
1933,275000
1934,181000
1935,185000
1936,193000
1937,168000
1938,173000
1939,180000
1940,170000
1941,181000
1942,185000
1943,179200
1944,266000
1945,240000
1946,93000
1947,328900
1948,185000
1949,190000
1950,175500
1951,190000
1952,260000
1953,157000
1954,171000
1955,135000
1956,250000
1957,152000
1958,250000
1959,124000
1960,110000
1961,115000
1962,118000
1963,83000
1964,119500
1965,155000
1966,127500
1967,284000
1968,260000
1969,326000
1970,345000
1971,325000
1972,280000
1973,219500
1974,345000
1975,385000
1976,272000
1977,315000
1978,266000
1979,318000
1980,202500
1981,350000
1982,254000
1983,266000
1984,175500
1985,192000
1986,175900
1987,172500
1988,178000
1989,180000
1990,195000
1991,173000
1992,179000
1993,174000
1994,215000
1995,201000
1996,192000
1997,236500
1998,385000
1999,310000
2000,290000
2001,290000
2002,214000
2003,266000
2004,237000
2005,214000
2006,266000
2007,232000
2008,176000
2009,189000
2010,186500
2011,221000
2012,147000
2013,193000
2014,201000
2015,205000
2016,189000
2017,189000
2018,117500
2019,147000
2020,125000
2021,127000
2022,165000
2023,110000
2024,290000
2025,285000
2026,208300
2027,151000
2028,146000
2029,173000
2030,232000
2031,196000
2032,196000
2033,196000
2034,155000
2035,225000
2036,172500
2037,172500
2038,287000
2039,151000
2040,325000
2041,235000
2042,172400
2043,145000
2044,167000
2045,190000
2046,167000
2047,154000
2048,147000
2049,110000
2050,190000
2051,127000
2052,141000
2053,155000
2054,83000
2055,157900
2056,120000
2057,127000
2058,205000
2059,139000
2060,181000
2061,139000
2062,139000
2063,110000
2064,166000
2065,137000
2066,135000
2067,115000
2068,180500
2069,108000
2070,135500
2071,86000
2072,100000
2073,144000
2074,159000
2075,139000
2076,129000
2077,155000
2078,119000
2079,131000
2080,100000
2081,132500
2082,141000
2083,140000
2084,135000
2085,155000
2086,184000
2087,140000
2088,122000
2089,100000
2090,128000
2091,168000
2092,140000
2093,87000
2094,115000
2095,140000
2096,100000
2097,116000
2098,140000
2099,86000
2100,152000
2101,112000
2102,128000
2103,110000
2104,122500
2105,79000
2106,67000
2107,234000
2108,124500
2109,115000
2110,120000
2111,112000
2112,135000
2113,127000
2114,127000
2115,133000
2116,149000
2117,117000
2118,131000
2119,119000
2120,79000
2121,110000
2122,120000
2123,109000
2124,131000
2125,129900
2126,188000
2127,189000
2128,128000
2129,109900
2130,135000
2131,136500
2132,115000
2133,118400
2134,135000
2135,167500
2136,55000
2137,109000
2138,139000
2139,140000
2140,156000
2141,148000
2142,148000
2143,148000
2144,157000
2145,129000
2146,140000
2147,139000
2148,112000
2149,144000
2150,190000
2151,194500
2152,157000
2153,165500
2154,118500
2155,139000
2156,250000
2157,260000
2158,215000
2159,215000
2160,189000
2161,270000
2162,385000
2163,318000
2164,194500
2165,154000
2166,145000
2167,196000
2168,231500
2169,193000
2170,230000
2171,144000
2172,148000
2173,130000
2174,228500
2175,220000
2176,275000
2177,200000
2178,175000
2179,143000
2180,235000
2181,192000
2182,214000
2183,147000
2184,145000
2185,175000
2186,148000
2187,127500
2188,177000
2189,235000
2190,82000
2191,82000
2192,118000
2193,81000
2194,107500
2195,124900
2196,93000
2197,127000
2198,141000
2199,154000
2200,160000
2201,178000
2202,184000
2203,178000
2204,159000
2205,115000
2206,132000
2207,239000
2208,200500
2209,143000
2210,151000
2211,119000
2212,135000
2213,100000
2214,130000
2215,127000
2216,186500
2217,82000
2218,55000
2219,105000
2220,82000
2221,275000
2222,275000
2223,222000
2224,219500
2225,90000
2226,180000
2227,180000
2228,214000
2229,235000
2230,167500
2231,197000
2232,175000
2233,260000
2234,203000
2235,190000
2236,240000
2237,385000
2238,201000
2239,147000
2240,164000
2241,171000
2242,145000
2243,127000
2244,91000
2245,91000
2246,142000
2247,130500
2248,130500
2249,136500
2250,146000
2251,160000
2252,157500
2253,180000
2254,187500
2255,184000
2256,185000
2257,215000
2258,185000
2259,178000
2260,160000
2261,170000
2262,180000
2263,335000
2264,335000
2265,160000
2266,232000
2267,302000
2268,402861
2269,175000
2270,130500
2271,262000
2272,190000
2273,165000
2274,181000
2275,165000
2276,207500
2277,155000
2278,144000
2279,147000
2280,136000
2281,181000
2282,165000
2283,88000
2284,113000
2285,148500
2286,127000
2287,337500
2288,147000
2289,280000
2290,318000
2291,225000
2292,315000
2293,385000
2294,266000
2295,385000
2296,239000
2297,233000
2298,255000
2299,310000
2300,335000
2301,225000
2302,226000
2303,190000
2304,239000
2305,164500
2306,220000
2307,224000
2308,202500
2309,190000
2310,192000
2311,226000
2312,214000
2313,174000
2314,176000
2315,174000
2316,225000
2317,176000
2318,174000
2319,174000
2320,208300
2321,227000
2322,159895
2323,187500
2324,83000
2325,190000
2326,180000
2327,219500
2328,190000
2329,140000
2330,181000
2331,285000
2332,225000
2333,207500
2334,174000
2335,290000
2336,290000
2337,147000
2338,271000
2339,208900
2340,385000
2341,179900
2342,214000
2343,224000
2344,190000
2345,210000
2346,147000
2347,147000
2348,270000
2349,152000
2350,270000
2351,232000
2352,232000
2353,290000
2354,84500
2355,141000
2356,155000
2357,201000
2358,200500
2359,144000
2360,115000
2361,129000
2362,250000
2363,156000
2364,156000
2365,270000
2366,140000
2367,208900
2368,208900
2369,199900
2370,176000
2371,177500
2372,201000
2373,239000
2374,250000
2375,154000
2376,260000
2377,260000
2378,158000
2379,167900
2380,155000
2381,179900
2382,155000
2383,217000
2384,228500
2385,142000
2386,153500
2387,140000
2388,90000
2389,129500
2390,140000
2391,132000
2392,115000
2393,140000
2394,140000
2395,155000
2396,165000
2397,220000
2398,110000
2399,55000
2400,83000
2401,112000
2402,135000
2403,124000
2404,160000
2405,143000
2406,140000
2407,135000
2408,148000
2409,141000
2410,167000
2411,110000
2412,165000
2413,140000
2414,140000
2415,174000
2416,109500
2417,133000
2418,115000
2419,127000
2420,118500
2421,141000
2422,141000
2423,108000
2424,135000
2425,179900
2426,139000
2427,135000
2428,140000
2429,110000
2430,142000
2431,115000
2432,135000
2433,127000
2434,127000
2435,167000
2436,112500
2437,109500
2438,127000
2439,109500
2440,140000
2441,91000
2442,79900
2443,115000
2444,120000
2445,87000
2446,137500
2447,122000
2448,140000
2449,87000
2450,124000
2451,125500
2452,122000
2453,100000
2454,170000
2455,139000
2456,125000
2457,105000
2458,149000
2459,119000
2460,149000
2461,125500
2462,149000
2463,131000
2464,153500
2465,135000
2466,135000
2467,177500
2468,87000
2469,67000
2470,180500
2471,219500
2472,225000
2473,125000
2474,112000
2475,171000
2476,193000
2477,125000
2478,175000
2479,125000
2480,148000
2481,153500
2482,112000
2483,115000
2484,129000
2485,125000
2486,170000
2487,129000
2488,125500
2489,170000
2490,139000
2491,112000
2492,190000
2493,108000
2494,135000
2495,140000
2496,193500
2497,140000
2498,130000
2499,112000
2500,91000
2501,141000
2502,135000
2503,119000
2504,170000
2505,215000
2506,230000
2507,239000
2508,266000
2509,250000
2510,213000
2511,185000
2512,227875
2513,225000
2514,260000
2515,145000
2516,176000
2517,145000
2518,144000
2519,189000
2520,193000
2521,195000
2522,192000
2523,128500
2524,93500
2525,135000
2526,124000
